연도,구분,누적 설비용량(MW),월,발전량,지역,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),월합계강수량(mm),평균 운량(1/10),일수,이용률
2021,울산,113,11,6580.49,울산,220.4,0.0,59.51805555555556,11.08125,49.7,2.9347222222222222,30,8.088114552605703
2022,서울,48,11,3758.25,서울,187.5,298.77,64.25,10.11138888888889,84.5,3.838888888888889,30,10.874565972222221
2022,울산,125,11,7206.13,울산,210.8,0.0,58.32222222222222,12.775972222222224,44.900000000000006,3.573611111111111,30,8.006811111111112
2023,서울,50,11,3708.8,서울,171.9,284.14,64.46666666666667,6.868333333333333,81.89999999999999,3.808333333333333,30,10.302222222222222
2023,울산,148,11,9514.81,울산,209.2,347.51,52.74027777777778,10.385277777777777,33.1,2.6597222222222223,30,8.929063438438439
2024,서울,50,11,3688.94,서울,183.5,295.63,62.234722222222224,9.743472222222222,60.0,4.034722222222222,30,10.247055555555555
2024,울산,178,11,9989.48,울산,152.6,289.57,65.425,11.754583333333334,67.5,4.288888888888889,30,7.794538077403246
2021,서울,44,12,3243.29,서울,185.4,257.25,61.32123655913978,0.6176075268817207,7.9,3.2620967741935485,31,9.907410801564028
2021,울산,113,12,6708.67,울산,230.4,0.0,48.99596774193548,4.747177419354839,3.5000000000000004,2.234185733512786,31,7.979672185745551
2022,서울,48,12,3265.41,서울,197.1,275.5,58.83602150537634,-2.7951612903225813,13.6,3.557795698924731,31,9.14373319892473
2022,울산,125,12,7169.53,울산,224.0,0.0,43.75672043010753,1.998521505376344,9.7,3.181451612903226,31,7.709172043010752
2023,서울,50,12,2786.44,서울,142.2,217.33,69.09353507565336,0.883356258596974,85.30000000000001,4.346629986244841,31,7.490430107526882
2023,울산,148,12,7880.9,울산,191.4,277.39,55.28225806451613,4.856854838709677,126.7,3.5981182795698925,31,7.157167247893054
2024,서울,50,12,3799.51,서울,206.3,288.48,56.13709677419355,0.885215053763441,5.699999999999999,2.85752688172043,31,10.213736559139786
2024,울산,178,12,12182.87,울산,236.0,329.81,44.53360215053763,4.076344086021505,0.0,2.639784946236559,31,9.19934003866135
