지역,연도,월,이용률_anom,월합계일조(hr)_anom,월합계일사(MJ/m²)_anom,평균 습도(%)_anom,평균 기온(°C)_anom,월합계강수량(mm)_anom,평균 운량(1/10)_anom
서울,2024,10,-0.9221752810361679,-23.474999999999966,-22.274999999999977,0.9553091397849443,1.0291666666666668,2.4749999999999943,0.31014784946236595
울산,2024,10,-1.231703055931236,-72.12500000000001,122.565,5.9375,0.9915322580645132,109.80000000000001,1.639112903225807
서울,2021,11,-0.15283593749999902,-13.025000000000006,-15.904999999999973,3.1996527777777857,-0.5300694444444431,-9.799999999999997,0.15555555555555545
울산,2021,11,-0.11651724228392268,22.150000000000006,-159.26999999999998,0.5166666666666728,-0.4180208333333333,0.8999999999999986,-0.42951388888888875
서울,2022,11,0.4508967013888867,10.875,11.225000000000023,-0.46701388888888573,1.3803472222222233,12.299999999999997,-0.10694444444444429
울산,2022,11,-0.19782068377851303,12.550000000000011,-159.26999999999998,-0.6791666666666671,1.27670138888889,-3.8999999999999986,0.2093750000000001
서울,2023,11,-0.12144704861111144,-4.724999999999994,-3.4049999999999727,-0.25034722222221717,-1.862708333333333,9.699999999999989,-0.13750000000000018
울산,2023,11,0.7244316435488134,10.949999999999989,188.24,-6.261111111111113,-1.1139930555555573,-15.700000000000003,-0.7045138888888887
서울,2024,11,-0.17661371527777625,6.875,8.085000000000036,-2.4822916666666615,1.0124305555555555,-12.200000000000003,0.08888888888888902
울산,2024,11,-0.41009371748637946,-45.650000000000006,130.3,6.423611111111107,0.2553125000000005,18.699999999999996,0.9246527777777778
서울,2021,12,0.7185831347751712,2.6500000000000057,-2.3899999999999864,-0.025735919450980305,0.7198531396518321,-20.225,-0.24391556107733914
울산,2021,12,-0.0316656930821253,9.950000000000017,-151.8,0.8538306451612883,0.8274529569892475,-31.475,-0.67919940954283
서울,2022,12,-0.04509446786412674,14.349999999999994,15.860000000000014,-2.5109509732144204,-2.69291567755247,-14.525000000000004,0.051783363653843395
울산,2022,12,-0.3021658358169246,3.5500000000000114,-151.8,-4.385416666666664,-1.921202956989247,-25.275000000000002,0.26806646984760985
서울,2023,12,-1.6983975592619744,-40.55000000000001,-42.309999999999974,7.746562597062606,0.9856018713670853,57.17500000000001,0.8406176509739538
울산,2023,12,-0.8541706309346226,-29.049999999999983,125.58999999999997,7.140120967741936,0.9371303763440859,91.725,0.6847331365142764
서울,2024,12,1.024908892350929,23.55000000000001,28.840000000000032,-5.209875704397206,0.9874606665335524,-22.425000000000004,-0.6484854535504576
울산,2024,12,1.1880021598336743,15.550000000000011,178.01,-3.60853494623656,0.1566196236559141,-34.975,-0.2736001968190571
